Type,Bed Room,Bath Room,Floor,city,Area_ft_square,price_million
Apartment,2.0,1.0,2.0,Okkalappa South,1045.0,280.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,300.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,365.0
Condo,3.0,3.0,1.0,Yankin,1100.0,950.0
Condo,2.0,2.0,1.0,Hlaing,855.0,500.0
Condo,3.0,3.0,1.0,Yankin,1500.0,1150.0
Apartment,2.0,1.0,1.0,Hlaing,750.0,249.0
Apartment,1.0,1.0,5.0,Tamwe,825.0,118.0
Condo,2.0,2.0,5.0,Okkalappa South,1026.0,375.0
Condo,2.0,2.0,1.0,Yankin,1680.0,880.0
Condo,3.0,2.0,33.0,Yankin,1735.0,1650.0
House,3.0,3.0,3.0,Thaketa,1250.0,1230.0
House,7.0,7.0,2.5,Insein,2400.0,2350.0
House,5.0,5.0,3.0,Bahan,3833.0,11700.0
Condo,2.0,2.0,11.0,Yankin,800.0,700.0
Condo,6.0,3.0,6.0,Yankin,1798.0,810.0
Condo,2.0,2.0,1.0,Hlaing,908.0,800.0
Apartment,2.0,2.0,0.5,Kyeemyindaing,10976.0,520.0
Apartment,1.0,1.0,6.0,Hlaing,825.0,155.0
House,5.0,5.0,2.0,Kamaryut,8400.0,12000.0
House,2.0,2.0,3.0,Yankin,2400.0,4500.0
House,5.0,4.0,2.0,Yankin,2100.0,4000.0
House,6.0,5.0,2.5,Thaketa,4800.0,2800.0
House,6.0,6.0,3.0,Mayangone,7200.0,4500.0
House,4.0,4.0,2.0,Bahan,4500.0,8.0
House,5.0,4.0,3.5,Thingangkuun,4664.0,5500.0
House,5.0,5.0,2.0,Ahlon,7700.0,6500.0
Apartment,3.0,2.0,4.0,Sanchaung,1650.0,345.0
Apartment,1.0,1.0,3.0,Sanchaung,625.0,128.0
Apartment,2.0,2.0,0.5,Kyeemyindaing,924.0,520.0
Condo,3.0,4.0,1.0,Sanchaung,2430.0,1550.0
House,3.0,3.0,2.0,Insein,1452.0,869.5
Apartment,3.0,2.0,1.0,Okkalappa South,972.0,445.0
House,6.0,5.0,2.0,Hlaing,16200.0,16200.0
House,5.0,5.0,3.0,Mayangone,4218.0,6400.0
Condo,5.0,3.0,6.0,Ahlon,1920.0,750.0
Condo,2.0,2.0,1.0,Okkalappa South,972.0,415.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,299.0
Apartment,2.0,1.0,1.0,Sanchaung,750.0,230.0
Apartment,1.0,1.0,5.0,Okkalappa North,972.0,140.0
Condo,3.0,3.0,1.0,Hlaing,1455.0,925.0
Condo,4.0,4.0,1.0,Ahlon,2600.0,1180.0
Condo,2.0,2.0,1.0,Yankin,1000.0,545.0
House,3.0,2.0,2.0,Thingangkuun,1450.0,520.0
House,5.0,3.0,2.0,Thingangkuun,3600.0,3200.0
Apartment,1.0,1.0,5.0,Dagon Myothit (North),972.0,185.0
House,3.0,1.0,1.0,Others,7200.0,1500.0
Condo,3.0,2.0,9.0,Dagon Myothit (Seikkan),840.0,285.0
Condo,4.0,2.0,7.0,Sanchaung,2000.0,770.0
Condo,2.0,1.0,5.0,Tamwe,1512.0,450.0
Condo,2.0,1.0,4.0,Okkalappa South,1026.0,365.0
Condo,2.0,2.0,2.0,Okkalappa South,1026.0,440.0
House,5.0,5.0,3.0,Dagon Myothit (North),1200.0,1450.0
House,4.0,4.0,2.0,Mayangone,2250.0,2200.0
Condo,2.0,2.0,1.0,Mingalartaungnyunt,1064.0,350.0
Apartment,2.0,1.0,5.0,Okkalappa South,972.0,206.0
Apartment,1.0,1.0,6.0,Thingangkuun,625.0,108.0
House,7.0,3.0,3.0,Dagon Myothit (North),1200.0,795.0
