price,city,type,bed_room,bath_room,floor,ft_square
1280.0,sanchaung,Apartment,1,1.0,3.0,625.0
5200.0,kyeemyindaing,Apartment,2,2.0,0.5,924.0
15500.0,sanchaung,Condo,3,4.0,1.0,2430.0
8695.0,insein,House,3,3.0,2.0,1452.0
4450.0,okkalappa south,Apartment,3,2.0,1.0,972.0
162000.0,hlaing,House,6,5.0,2.0,16200.0
64000.0,mayangone,House,5,5.0,3.0,4218.0
7500.0,ahlon,Condo,5,3.0,6.0,1920.0
4150.0,okkalappa south,Condo,2,2.0,1.0,972.0
2990.0,okkalappa south,Apartment,2,1.0,3.0,972.0
2300.0,sanchaung,Apartment,2,1.0,1.0,750.0
1400.0,okkalappa north,Apartment,1,1.0,5.0,972.0
9250.0,hlaing,Condo,3,3.0,1.0,1455.0
11800.0,ahlon,Condo,4,4.0,1.0,2600.0
5450.0,yankin,Condo,2,2.0,1.0,1000.0
5200.0,thingangkuun,House,3,2.0,2.0,1450.0
32000.0,thingangkuun,House,5,3.0,2.0,3600.0
1850.0,dagon myothit (north),Apartment,1,1.0,5.0,972.0
15000.0,palae myothit,House,3,1.0,1.0,7200.0
2850.0,dagon myothit (seikkan),Condo,3,2.0,9.0,840.0
7700.0,sanchaung,Condo,4,2.0,7.0,2000.0
4500.0,tamwe,Condo,2,1.0,5.0,1512.0
3650.0,okkalappa south,Condo,2,1.0,4.0,1026.0
4400.0,okkalappa south,Condo,2,2.0,2.0,1026.0
14500.0,dagon myothit (north),House,5,5.0,3.0,1200.0
22000.0,mayangone,House,4,4.0,2.0,2250.0
3500.0,mingalartaungnyunt,Condo,2,2.0,1.0,1064.0
2060.0,okkalappa south,Apartment,2,1.0,5.0,972.0
1080.0,thingangkuun,Apartment,1,1.0,6.0,625.0
7950.0,dagon myothit (north),House,7,3.0,3.0,1200.0
2980.0,dagon myothit (seikkan),House,2,2.0,1.0,1200.0
2600.0,thaketa,Condo,2,2.0,1.0,972.0
3500.0,mingalartaungnyunt,Condo,2,2.0,9.0,1064.0
16000.0,ahlon,Condo,4,4.0,1.0,2360.0
2200.0,dagon myothit (north),Apartment,2,1.0,2.0,900.0
8800.0,okkalappa south,Condo,3,3.0,1.0,1200.0
9990.0,mayangone,Condo,3,4.0,1.0,2380.0
1500.0,dagon myothit (north),Apartment,1,1.0,4.0,750.0
11500.0,yankin,Condo,3,3.0,1.0,1750.0
1300.0,thaketa,Apartment,1,1.0,5.0,972.0
3000.0,tamwe,Apartment,1,2.0,1.0,625.0
2400.0,tamwe,Apartment,1,1.0,2.0,900.0
1850.0,okkalappa south,Apartment,2,1.0,5.0,756.0
1920.0,thingangkuun,Apartment,2,1.0,3.0,972.0
8000.0,hlaing,Condo,2,2.0,1.0,908.0
6300.0,sanchaung,Apartment,3,2.0,1.0,1250.0
1330.0,mayangone,Apartment,1,1.0,5.0,625.0
1450.0,thaketa,Apartment,1,1.0,1.0,625.0
1650.0,thaketa,Apartment,1,1.0,3.0,1045.0
1200.0,dagon myothit (north),Apartment,1,1.0,3.0,918.0
1180.0,thingangkuun,Apartment,1,1.0,5.0,625.0
3600.0,thingangkuun,Apartment,3,2.0,1.0,972.0
3350.0,ahlon,Apartment,2,1.0,1.0,900.0
1490.0,thingangkuun,Apartment,1,1.0,1.0,625.0
2880.0,okkalappa south,Apartment,2,2.0,3.0,972.0
11000.0,hlaing,Condo,3,3.0,1.0,1825.0
12000.0,tamwe,Condo,3,3.0,1.0,2160.0
6500.0,lanmadaw,Condo,2,2.0,1.0,929.0
2890.0,okkalappa south,Apartment,2,1.0,4.0,972.0
2750.0,okkalappa south,Apartment,2,2.0,5.0,972.0
4450.0,okkalappa south,Apartment,2,2.0,1.0,972.0
18500.0,thaketa,House,3,2.0,1.0,2400.0
55000.0,thingangkuun,House,3,3.0,3.5,4664.0
9800.0,hlaing,Condo,4,3.0,3.0,2205.0
9000.0,mingalartaungnyunt,Condo,1,2.0,10.0,1750.0
32000.0,dagon myothit (north),House,4,4.0,2.5,2400.0
2790.0,thingangkuun,Apartment,2,2.0,3.0,972.0
35000.0,dagon myothit (north),House,4,4.0,2.0,6643.0
4360.0,okkalappa south,Condo,2,2.0,5.0,1026.0
2350.0,okkalappa south,Apartment,2,1.0,5.0,972.0
5330.0,thingangkuun,Condo,2,2.0,6.0,1026.0
4550.0,thingangkuun,Apartment,3,2.0,1.0,972.0
2700.0,okkalappa north,House,2,1.0,1.0,1200.0
20000.0,kyeemyindaing,House,4,1.0,1.5,1250.0
15500.0,yankin,Condo,3,3.0,1.0,1664.0
6000.0,thingangkuun,Condo,3,3.0,1.0,1550.0
2800.0,okkalappa south,Apartment,2,1.0,1.0,972.0
6795.0,yankin,Condo,3,2.0,1.0,1359.0
3800.0,okkalappa south,Condo,2,2.0,3.0,918.0
3040.0,thingangkuun,Apartment,2,2.0,2.0,972.0
4400.0,okkalappa south,Condo,2,2.0,2.0,1026.0
2070.0,okkalappa south,Apartment,2,1.0,3.0,756.0
4700.0,kyeemyindaing,Condo,3,3.0,4.0,1400.0
2060.0,tamwe,Apartment,1,1.0,5.0,600.0
1280.0,thaketa,Apartment,2,1.0,3.0,972.0
1400.0,okkalappa south,Apartment,1,1.0,2.0,728.0
2090.0,okkalappa south,Apartment,2,1.0,2.0,972.0
3790.0,thingangkuun,Apartment,2,2.0,1.0,972.0
1500.0,thingangkuun,Apartment,2,1.0,1.0,972.0
2700.0,tamwe,Apartment,2,1.0,3.0,1224.0
2350.0,tamwe,Apartment,4,1.0,5.0,900.0
1380.0,tamwe,Apartment,2,2.0,6.0,1250.0
2500.0,lanmadaw,Apartment,1,1.0,5.0,625.0
2000.0,pazundaung,Apartment,2,1.0,6.0,990.0
2700.0,pazundaung,Apartment,2,1.0,5.0,900.0
3500.0,pazundaung,Apartment,2,1.0,1.0,900.0
2900.0,yankin,Apartment,4,3.0,0.5,2000.0
11500.0,yankin,Condo,3,3.0,1.0,1750.0
9500.0,yankin,Condo,3,3.0,1.0,1100.0
6600.0,lanmadaw,Condo,2,2.0,10.0,929.0
4500.0,hlaing,Apartment,2,3.0,4.0,1496.0
2790.0,okkalappa north,Condo,2,2.0,7.0,1045.0
1970.0,thaketa,Apartment,2,2.0,0.5,825.0
975.0,thaketa,Apartment,1,1.0,6.0,810.0
1860.0,thaketa,Apartment,1,1.0,2.0,972.0
1330.0,thaketa,Apartment,2,1.0,5.0,972.0
2350.0,thaketa,Apartment,1,1.0,1.0,972.0
4700.0,yankin,Condo,1,1.0,8.0,450.0
4800.0,yankin,Condo,1,1.0,22.0,450.0
7000.0,yankin,Condo,2,1.0,14.0,780.0
6400.0,yankin,Condo,2,1.0,3.0,780.0
6600.0,yankin,Condo,2,1.0,6.0,800.0
18500.0,ahlon,Condo,4,3.0,2.0,2205.0
8500.0,okkalappa south,Condo,3,2.0,1.0,1199.0
2880.0,okkalappa south,Apartment,2,2.0,3.0,972.0
45000.0,mayangone,House,7,6.0,3.0,2976.0
56000.0,mayangone,House,5,6.0,2.0,7000.0
56000.0,mayangone,House,5,5.0,2.0,7000.0
26000.0,mayangone,House,5,2.0,2.0,3000.0
2490.0,hlaing,Apartment,2,1.0,1.0,750.0
23500.0,dagon myothit (north),House,6,7.0,3.0,2460.0
7950.0,dagon myothit (north),House,7,3.0,3.0,1200.0
4800.0,bahan,Apartment,3,2.0,1.0,900.0
7300.0,sanchaung,Condo,2,2.0,1.0,1065.0
11000.0,ahlon,Condo,2,2.0,1.0,2000.0
6400.0,thingangkuun,Condo,2,2.0,1.0,1059.0
850.0,mayangone,Apartment,1,1.0,3.0,575.0
12500.0,dagon myothit (north),House,4,4.0,2.0,2400.0
35000.0,dagon myothit (north),House,4,3.0,1.0,6603.0
4800.0,tamwe,Condo,3,2.0,2.0,1250.0
2580.0,thaketa,Condo,1,1.0,7.0,972.0
27500.0,dagon myothit (north),House,4,4.0,2.5,2400.0
2820.0,okkalappa south,Apartment,2,2.0,3.0,1026.0
2700.0,okkalappa south,Apartment,2,1.0,1.0,972.0
7950.0,dagon myothit (north),House,7,3.0,3.0,1200.0
4300.0,dagon myothit (south),Apartment,4,2.0,1.0,1000.0
5200.0,dagon myothit (north),House,2,1.0,1.0,1200.0
2370.0,okkalappa south,Apartment,2,1.0,5.0,972.0
8800.0,hlaing,Condo,4,4.0,1.0,1834.0
1280.0,tamwe,Apartment,1,1.0,4.0,900.0
4250.0,okkalappa south,Condo,2,2.0,5.0,918.0
2480.0,thingangkuun,Condo,1,1.0,4.0,771.0
4000.0,thingangkuun,Condo,2,2.0,7.0,1530.05
9800.0,hlaing,Condo,3,3.0,10.0,1825.0
1450.0,dawbon,Apartment,1,1.0,1.0,625.0
6300.0,dagon,Condo,3,3.0,5.0,1700.0
5200.0,thaketa,Apartment,3,1.0,0.5,825.0
7300.0,sanchaung,Condo,2,2.0,1.0,1056.0
9900.0,hlaing,Condo,3,3.0,1.0,1505.0
3350.0,ahlon,Apartment,2,1.0,1.0,900.0
13500.0,tamwe,Condo,3,3.0,1.0,1950.0
7000.0,dagon myothit (north),House,4,2.0,2.5,1200.0
7200.0,bahan,Condo,3,2.0,1.0,1100.0
1100.0,thingangkuun,Apartment,1,1.0,3.0,715.0
3650.0,okkalappa south,Apartment,2,1.0,1.0,972.0
1500.0,hlaing,Apartment,1,1.0,1.0,625.0
23870.0,mingalartaungnyunt,Condo,3,4.0,1.0,2170.0
3700.0,kyeemyindaing,Apartment,3,2.0,0.5,625.0
3300.0,yankin,Apartment,2,1.0,2.0,1080.0
1550.0,dagon myothit (south),Apartment,2,2.0,6.0,838.0
1860.0,thaketa,Apartment,1,1.0,2.0,972.0
65000.0,tamwe,House,2,3.0,5.0,5000.0
20000.0,dagon myothit (east),House,2,1.0,2.0,1800.0
85000.0,bahan,House,6,7.0,2.0,2800.0
4400.0,thingangkuun,Condo,2,2.0,1.0,1037.0
1285.0,thaketa,Apartment,2,1.0,5.0,1026.0
7500.0,yankin,Apartment,2,2.0,1.0,1100.0
8800.0,hlaing,House,4,3.0,8.0,1835.0
12900.0,dagon myothit (north),House,5,6.0,3.0,1260.0
4999.0,hlaing,Condo,2,2.0,1.0,983.0
8500.0,kamaryut,Condo,3,3.0,3.0,1600.0
5500.0,lanmadaw,Apartment,2,1.0,1.0,800.0
2300.0,okkalappa south,Condo,1,1.0,7.0,900.0
4500.0,tamwe,Condo,2,2.0,7.0,1444.0
3450.0,thanlyin,Condo,1,1.0,6.0,651.0
20000.0,mayangone,Condo,5,3.0,1.0,1959.0
11000.0,sanchaung,Condo,3,2.0,9.0,1400.0
2500.0,okkalappa south,Apartment,2,1.0,3.0,972.0
4100.0,sanchaung,Condo,2,2.0,7.0,1250.0
15000.0,thaketa,House,3,1.0,2.0,2400.0
1350.0,mayangone,Apartment,1,1.0,4.0,625.0
1330.0,thaketa,Apartment,2,1.0,5.0,972.0
3980.0,okkalappa south,Condo,2,2.0,1.0,1026.0
2650.0,okkalappa south,Condo,2,1.0,1.0,783.0
4300.0,sanchaung,Condo,2,2.0,1.0,1250.0
2500.0,dagon myothit (seikkan),Condo,3,2.0,5.0,836.0
5330.0,thingangkuun,Condo,2,2.0,6.0,1026.0
9800.0,okkalappa south,House,3,2.0,2.0,1200.0
5000.0,hlaing,Condo,2,2.0,1.0,855.0
7300.0,sanchaung,Condo,2,2.0,1.0,1056.0
8800.0,hlaing,Condo,4,4.0,1.0,1834.0
9500.0,yankin,Condo,2,2.0,1.0,1168.0
2890.0,okkalappa south,Apartment,2,1.0,3.0,972.0
3790.0,thingangkuun,Apartment,2,2.0,1.0,972.0
2970.0,okkalappa south,Apartment,2,2.0,2.0,972.0
50000.0,mayangone,House,4,4.0,2.0,4500.0
183700.0,hlaing,House,6,5.0,2.0,18370.0
4150.0,okkalappa south,Condo,2,2.0,5.0,918.0
8500.0,bahan,Condo,3,2.0,10.0,1800.0
8500.0,yankin,Condo,3,3.0,1.0,1800.0
11500.0,yankin,Condo,3,2.0,4.0,1685.0
3100.0,thingangkuun,Apartment,2,1.0,1.0,972.0
5400.0,kamaryut,Condo,3,2.0,5.0,1300.0
1600.0,thaketa,Apartment,2,1.0,4.0,1026.0
13500.0,okkalappa south,House,5,4.0,3.0,1200.0
15000.0,okkalappa south,House,4,3.0,2.0,1200.0
12000.0,okkalappa south,House,8,3.0,3.5,1200.0
5300.0,tamwe,Condo,3,3.0,1.0,1500.0
15000.0,hlaing,House,4,2.0,2.0,2100.0
13000.0,okkalappa south,House,4,4.0,3.0,1200.0
2700.0,dagon myothit (seikkan),Condo,3,2.0,5.0,825.0
13500.0,okkalappa south,House,3,4.0,2.0,1200.0
13000.0,okkalappa south,House,2,3.0,2.0,1800.0
2500.0,thanlyin,Condo,1,1.0,5.0,484.0
3980.0,okkalappa south,Condo,2,2.0,1.0,1026.0
7950.0,dagon myothit (north),House,7,3.0,3.0,1200.0
1850.0,okkalappa south,Apartment,2,1.0,2.0,918.0
4950.0,dagon myothit (north),Condo,1,2.0,1.0,972.0
4300.0,dagon myothit (south),Apartment,4,2.0,1.0,1000.0
14000.0,dagon myothit (north),House,1,1.0,1.0,2400.0
1585.0,thaketa,Apartment,1,1.0,1.0,750.0
70000.0,thingangkuun,House,5,5.0,2.0,6956.0
14.0,lanmadaw,Condo,1,1.0,12.0,405.0
17000.0,thaketa,House,4,4.0,2.0,3600.0
11500.0,yankin,Condo,3,2.0,4.0,1685.0
2720.0,okkalappa south,Condo,1,2.0,8.0,935.0
2780.0,okkalappa south,Condo,2,2.0,5.0,935.0
2250.0,okkalappa south,Apartment,2,1.0,1.0,972.0
1339.0,thingangkuun,Apartment,1,1.0,2.0,625.0
26000.0,ahlon,House,4,4.0,2.0,4680.0
35000.0,thingangkuun,House,5,5.0,2.5,2600.0
27000.0,yankin,House,4,3.0,2.0,4600.0
45000.0,yankin,House,4,3.0,2.0,2640.0
2880.0,okkalappa south,Apartment,2,2.0,3.0,972.0
4300.0,sanchaung,Condo,2,1.0,5.0,1250.0
4200.0,sanchaung,Condo,3,2.0,6.0,1300.0
1200.0,tamwe,Apartment,1,1.0,6.0,650.0
6500.0,bahan,Condo,6,3.0,10.0,1680.0
2120.0,okkalappa south,Apartment,3,1.0,2.0,918.0
2050.0,okkalappa south,Apartment,2,1.0,3.0,1026.0
2695.0,okkalappa south,Apartment,2,1.0,1.0,972.0
3950.0,thingangkuun,Condo,2,2.0,6.0,918.0
1339.0,thingangkuun,Apartment,1,1.0,3.0,625.0
800.0,thingangkuun,Apartment,1,1.0,5.0,625.0
1900.0,hlaing,Apartment,1,1.0,5.0,860.0
5600.0,hlaing,Apartment,2,2.0,0.5,962.5
73000.0,hlaing,House,5,2.0,2.0,4200.0
2350.0,sanchaung,Apartment,1,1.0,1.0,625.0
1600.0,okkalappa south,Apartment,2,2.0,5.0,972.0
2800.0,okkalappa south,Apartment,2,1.0,1.0,972.0
2550.0,okkalappa south,Apartment,2,1.0,4.0,972.0
2150.0,okkalappa south,Apartment,2,1.0,5.0,972.0
980.0,thingangkuun,Apartment,1,1.0,5.0,750.0
1200.0,tamwe,Apartment,2,1.0,6.0,900.0
