price,city,type,bed_room,bath_room,floor,ft_square
8300.0,yankin,Condo,3,3.0,1,1289.0
11500.0,lanmadaw,Condo,4,4.0,1,1439.0
5200.0,hlaing,Condo,2,2.0,1,900.0
7300.0,sanchaung,Condo,2,2.0,1,1065.0
6900.0,others,Condo,1,1.0,4,1500.0
1650.0,thaketa,Apartment,2,1.0,2,972.0
35000.0,mayangone,House,5,5.0,4,4200.0
6500.0,thingangkuun,Condo,2,1.0,1,900.0
1360.0,okkalappa south,Apartment,2,1.0,5,972.0
14300.0,kamaryut,House,1,2.0,3,1170.0
1650.0,sanchaung,Apartment,2,1.0,7,625.0
30048.0,others,Condo,7,7.0,1,4542.0
6767.0,yankin,Condo,3,3.0,1,1289.0
35000.0,thingangkuun,House,4,4.0,2,3600.0
1250.0,others,Apartment,1,1.0,1,625.0
6500.0,sanchaung,Condo,4,2.0,7,2000.0
18000.0,mayangone,House,3,3.0,2,2400.0
18000.0,mayangone,House,2,2.0,1,4542.0
7500.0,dagon myothit (north),House,4,3.0,2,1500.0
4300.0,tamwe,Condo,2,2.0,1,900.0
35955.625,mayangone,House,4,4.0,2,4500.0
6600.0,mayangone,Condo,3,2.0,7,1500.0
3850.0,okkalappa south,Apartment,3,2.0,1,972.0
16000.0,hlaing,Condo,6,3.0,1,2015.0
35955.625,kamaryut,House,7,7.0,3,4542.0
2100.0,others,Apartment,2,1.0,3,972.0
26000.0,tamwe,House,4,1.0,2,1860.0
5400.0,hlaing,Condo,2,2.0,7,983.0
18000.0,dagon myothit (north),House,4,5.0,2,2400.0
20000.0,dagon myothit (south),House,5,2.0,2,2400.0
3550.0,okkalappa south,Condo,2,1.0,1,1026.0
5990.0,sanchaung,Condo,2,2.0,7,2000.0
22000.0,okkalappa south,House,3,2.0,2,1800.0
13500.0,dagon myothit (south),House,4,2.0,2,3600.0
11000.0,thingangkuun,House,2,2.0,2,1200.0
35000.0,dagon myothit (north),House,6,6.0,2,4542.0
8700.0,sanchaung,Apartment,1,1.0,1,1566.0
5000.0,hlaing,Apartment,2,2.0,1,1040.0
4550.0,others,Apartment,2,1.0,1,1200.0
1700.0,dagon myothit (south),Apartment,2,2.0,1,838.0
20500.0,mayangone,House,3,4.0,2,1600.0
12500.0,dagon myothit (north),House,4,5.0,2,2400.0
1680.0,thingangkuun,Apartment,2,1.0,5,1026.0
35955.625,dagon myothit (north),House,5,5.0,2,4542.0
6000.0,sanchaung,Apartment,3,1.0,1,750.0
17500.0,thingangkuun,House,6,1.0,2,4542.0
2900.0,okkalappa south,Condo,1,2.0,7,825.0
1350.0,thaketa,Apartment,2,1.0,7,1026.0
1750.0,sanchaung,Apartment,1,1.0,5,625.0
1780.0,kamaryut,Apartment,1,1.0,4,625.0
2800.0,others,Condo,3,2.0,7,846.0
2695.0,okkalappa south,Apartment,2,1.0,1,972.0
1685.0,sanchaung,Apartment,1,1.0,5,687.5
2150.0,thanlyin,Condo,1,1.0,2,411.0
2700.0,okkalappa south,Condo,2,1.0,4,935.0
1790.0,thaketa,Apartment,2,1.0,3,972.0
6400.0,sanchaung,Condo,2,2.0,1,1056.0
18000.0,hlaing,House,5,1.0,2,2450.0
2300.0,sanchaung,Apartment,2,1.0,1,750.0
1400.0,tamwe,Apartment,1,1.0,4,650.0
35955.625,dagon myothit (north),House,1,2.0,2,4542.0
2884.0,okkalappa south,Apartment,2,2.0,3,972.0
35000.0,sanchaung,House,3,3.0,2,2400.0
5500.0,mayangone,Condo,2,1.0,1,1100.0
8500.0,dagon myothit (north),House,3,2.0,2,1200.0
25000.0,sanchaung,House,3,3.0,2,1625.0
35955.625,mayangone,House,4,4.0,2,4500.0
1450.0,thaketa,Apartment,1,1.0,1,625.0
855.0,mayangone,Apartment,1,1.0,5,720.0
7200.0,others,Condo,3,2.0,5,1100.0
16000.0,ahlon,Condo,4,4.0,1,2360.0
35000.0,dagon myothit (north),House,4,3.0,1,4542.0
1400.0,others,Apartment,1,1.0,1,750.0
13500.0,tamwe,Condo,3,3.0,1,1950.0
35955.625,yankin,House,5,5.0,3,3500.0
3600.0,dagon myothit (north),House,3,1.0,1,1200.0
2500.0,hlaing,Apartment,2,1.0,3,875.0
2300.0,okkalappa south,Apartment,3,1.0,5,1210.0
8070.0,kamaryut,Condo,4,4.0,1,1900.0
10000.0,ahlon,Condo,4,4.0,3,2400.0
6600.0,yankin,Condo,2,2.0,1,942.0
6300.0,thanlyin,Condo,3,2.0,2,1277.0
11500.0,yankin,Condo,3,2.0,1,1685.0
13500.0,mayangone,Condo,3,3.0,1,1506.0
22000.0,yankin,House,7,6.0,2,4125.0
7950.0,dagon myothit (north),House,7,3.0,3,1200.0
4800.0,sanchaung,Condo,3,2.0,4,1280.0
7000.0,yankin,Condo,2,1.0,7,780.0
1200.0,tamwe,Apartment,1,1.0,3,750.0
2700.0,okkalappa south,Apartment,2,1.0,4,972.0
3300.0,others,Apartment,3,1.0,3,900.0
12000.0,thanlyin,House,2,2.0,2,4000.0
9800.0,kamaryut,Condo,4,2.0,4,1855.0
2580.0,thaketa,Condo,1,1.0,7,972.0
12410.0,ahlon,Condo,2,2.0,1,1654.0
35955.625,mayangone,House,5,4.0,2,4542.0
1590.0,thaketa,Apartment,2,1.0,3,918.0
35955.625,yankin,House,7,7.0,4,4200.0
9000.0,yankin,Condo,3,3.0,1,1499.0
4450.0,lanmadaw,Condo,2,2.0,1,528.0
7950.0,dagon myothit (north),House,7,3.0,3,1200.0
9900.0,hlaing,Condo,3,3.0,1,1505.0
2190.0,sanchaung,Apartment,2,1.0,2,625.0
3780.0,okkalappa south,Condo,2,2.0,1,918.0
35955.625,thingangkuun,House,5,5.0,2,4225.0
2750.0,okkalappa south,Apartment,2,1.0,1,1026.0
12000.0,okkalappa south,House,3,1.0,2,1200.0
15000.0,dagon myothit (south),House,4,5.0,2,4542.0
35955.625,mayangone,House,5,5.0,2,4542.0
6500.0,hlaing,Condo,2,2.0,1,2274.0
3290.0,okkalappa south,Condo,1,1.0,4,918.0
24840.0,others,Condo,7,7.0,7,3600.0
21500.0,mayangone,House,3,3.0,2,2400.0
9900.0,yankin,Condo,2,2.0,1,1650.0
6500.0,hlaing,Apartment,2,2.0,1,1610.0
21500.0,mayangone,Condo,4,4.0,1,1955.0
3800.0,okkalappa south,Condo,2,2.0,5,1026.0
4200.0,sanchaung,Condo,3,2.0,7,1300.0
